sample.id,Abundance,Potential_N,Potential_N_micro,management,N.dosage,Genotype,Inoculant,Growth.stage,Kingdom,Phylum,Class,Order,Family,Genus
B73_N:0_None_VT,2.862516818,762.0693177,0.762,N:0_None,N:0,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_VT,2.862516818,918.170268,0.918,N:0_None,N:0,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_VT,2.862516818,1033.735045,1.034,N:0_None,N:0,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,2.811965115,725.1611327,0.725,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,2.811965115,904.1219025,0.904,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,2.811965115,941.7953171,0.942,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,2.811965115,1060.130786,1.06,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_VT,2.737853729,1054.770233,1.005,N:67_Proven,N:67,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_VT,2.737853729,1098.509903,1.099,N:67_Proven,N:67,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_VT,2.737853729,1114.89202,1.115,N:67_Proven,N:67,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
