,treatment,Genotype,Inoculant,N dosages,GDD,Growth stage,lsmean,SE,df,lower.CL,upper.CL
1,B73_0_0, B73, None,N:0,YGDD-763.5,V5,1.624667988,0.213806826,17.94154206,1.175371584,2.073964392
11,B73_0_0, B73, None,N:0,YGDD-1657.5,V12,0.561514792,0.133205913,18,0.281659555,0.84137003
12,B73_0_0, B73, None,N:0,YGDD-3327.5,R6,0.481580324,0.07539761,18,0.323175823,0.639984824
5,B73_0_60, B73, None,N:67,YGDD-763.5,V5,1.306057829,0.213806826,17.94154206,0.856761425,1.755354233
51,B73_0_60, B73, None,N:67,YGDD-1657.5,V12,0.659761223,0.133205913,18,0.379905985,0.93961646
52,B73_0_60, B73, None,N:67,YGDD-3327.5,R6,0.653321328,0.07539761,18,0.494916828,0.811725828
7,B73_1_60, B73, Proven,N:67,YGDD-763.5,V5,1.523831083,0.213806826,17.94154206,1.074534678,1.973127487
71,B73_1_60, B73, Proven,N:67,YGDD-1657.5,V12,0.417383717,0.133205913,18,0.137528479,0.697238954
72,B73_1_60, B73, Proven,N:67,YGDD-3327.5,R6,0.599512755,0.07539761,18,0.441108255,0.757917255
2,BNI NIL_0_0, NIL 1, None,N:0,YGDD-763.5,V5,2.084859189,0.213806826,17.94154206,1.635562785,2.534155593
21,BNI NIL_0_0, NIL 1, None,N:0,YGDD-1657.5,V12,0.492095526,0.133205913,18,0.212240289,0.771950764
22,BNI NIL_0_0, NIL 1, None,N:0,YGDD-3327.5,R6,0.495182939,0.07539761,18,0.336778439,0.653587439
6,BNI NIL_0_60, NIL 1, None,N:67,YGDD-763.5,V5,1.431862191,0.213806826,17.94154206,0.982565787,1.881158595
61,BNI NIL_0_60, NIL 1, None,N:67,YGDD-1657.5,V12,0.638340927,0.133205913,18,0.358485689,0.918196165
62,BNI NIL_0_60, NIL 1, None,N:67,YGDD-3327.5,R6,0.562611824,0.07539761,18,0.404207324,0.721016324
8,BNI NIL_1_60, NIL 1, Proven,N:67,YGDD-763.5,V5,1.426134685,0.213806826,17.94154206,0.976838281,1.875431089
81,BNI NIL_1_60, NIL 1, Proven,N:67,YGDD-1657.5,V12,0.811016119,0.133205913,18,0.531160881,1.090871357
82,BNI NIL_1_60, NIL 1, Proven,N:67,YGDD-3327.5,R6,0.80527232,0.07539761,18,0.64686782,0.96367682
