Treatment.Description,Inoculant,Genotype,N.dosages,V8.Plant.Biomass,V8.Plant.N.Concentration,V8.Plant.N.Content,VT.Plant.Moisture,VT.Plant.Biomass,VT.Plant.Biomass_kg,VT.Plant.N.Concentration,VT.Plant.N.Content_lb,VT.Plant.N.Content_kg,VT.Plant.N.Content_mg,Grain.Oil,Grain.Protein,Grain.N.concentration,Grain.Starch,Kernel.Weight..kg.kernel.,Kernel.Weight.mg.kernel.,NUE,Rep
Inbred: B73 N: 0 IF: None,None,B73,N:0,983.15,2.58,25.41,0.84,4552.87,5103.08434,1.28,58.35,65.41035,65410.35,3.74,8.3,51.875,72.6,0.15283,152.83,4.279941765,1
Inbred: BNI NIL 1 N: 0 IF: None,None,NIL 1,N:0,1137.34,2.76,31.44,0.842,4370.36,4898.518006,1.4,61.21,68.61641,68616.41,3.16,8.2,51.25,73.2,0.17051,170.51,4.024186851,2
Inbred: BNI NIL 2 N: 0 IF: None,None,NIL 2,N:0,1195.33,2.81,33.53,0.842,5049.72,5659.978662,1.47,74.32,83.31272,83312.72,3.65,7.7,48.125,72,0.19587,195.87,4.253470159,3
Inbred: B73 N: 0 IF: Proven,Proven,B73,N:0,1192.7,2.55,30.45,0.833,4230.04,4741.240334,1.55,65.37,73.27977,73279.77,3.12,7.8,48.75,73.9,0.18042,180.42,4.061621217,4
Inbred: BNI NIL 1 N: 0 IF: Proven,Proven,NIL 1,N:0,1022.69,2.76,28.23,0.844,4623.93,5182.731941,1.59,73.42,82.30382,82303.82,2.97,8.6,53.75,72,0.17214,172.14,4.781214128,5
Inbred: BNI NIL 2 N: 0 IF: Proven,Proven,NIL 2,N:0,1283.63,2.58,33.09,0.84,3885.22,4354.748837,1.4,54.21,60.76941,60769.41,3.28,8.2,51.25,72.3,0.19578,195.78,3.103964143,6
Inbred: B73 N: 30 IF: None,None,B73,N:34,1133.39,2.5,28.34,0.847,4846.99,5432.748742,1.54,74.75,83.79475,83794.75,3.41,7.4,46.25,72.5,0.17888,178.88,4.684411337,1
Inbred: BNI NIL 1 N: 30 IF: None,None,NIL 1,N:34,1175.56,2.61,30.74,0.852,4189.97,4696.327875,1.43,60.06,67.32726,67327.26,3.25,9.8,61.25,70.9,0.18905,189.05,3.561346734,2
Inbred: BNI NIL 2 N: 30 IF: None,None,NIL 2,N:34,1263.86,2.66,33.63,0.853,4807.17,5388.116495,1.83,88.17,98.83857,98838.57,3.54,8.6,53.75,71.5,0.18653,186.53,5.298802874,3
Inbred: B73 N: 30 IF: Proven,Proven,B73,N:34,1378.52,2.53,34.94,0.853,4401.69,4933.634237,1.41,62.12,69.63652,69636.52,3.75,7.9,49.375,72.1,0.19394,193.94,3.590621842,4
Inbred: BNI NIL 1 N: 30 IF: Proven,Proven,NIL 1,N:34,1192.7,2.91,34.71,0.841,5272.84,5910.062714,1.39,73.41,82.29261,82292.61,3.07,9.2,57.5,72.6,0.18213,182.13,4.518344589,5
Inbred: BNI NIL 2 N: 30 IF: Proven,Proven,NIL 2,N:34,1249.36,2.93,36.56,0.844,4581.47,5135.14065,1.59,73.04,81.87784,81877.84,3.76,7.8,48.75,72.9,0.18955,189.55,4.319590609,6
Inbred: B73 N: 60 IF: None,None,B73,N:67,1211.15,2.97,36.01,0.855,4767.48,5343.629958,1.87,89.04,99.81384,99813.84,3.73,8,50,71.2,0.19445,194.45,5.133136539,1
Inbred: BNI NIL 1 N: 60 IF: None,None,NIL 1,N:67,1307.35,2.5,32.68,0.844,4855.5,5442.287175,1.57,76.02,85.21842,85218.42,3.23,8.9,55.625,72.1,0.17308,173.08,4.923643402,2
Inbred: BNI NIL 2 N: 60 IF: None,None,NIL 2,N:67,1154.48,3.22,37.17,0.832,4580.39,5133.930132,1.56,71.62,80.28602,80286.02,3.37,7.7,48.125,73.6,0.18703,187.03,4.292681388,3
